trial, sentMessage_Tomato_open_network_2.txt;
14-/device-7, 147 32865352.319093 blinking 0;
15-/device-8, 149 32865572.159588 blinking 0;
15-/device-1, 106 32868992.15016 random 203 47 2 51 177 29 232 46 175 50 94 208 211 205 30 134 111;
15-/device-2, 111 32869212.213836 random 197 42 36 104 6 162 205 228 80 204 11 42 53 216 198 200 164;
15-/device-3, 116 32869432.116758 random 24 38 130 163 52 163 113 227 10 23 229 171 188 150 77 78 11 124 81;
15-/device-4, 118 32869672.260217 random 9 229 175 57 227 140 206 18 150 29 144 132 0 153 242 136;
15-/device-5, 119 32869892.183893 random 177 115 239 109 132 116 80 182 46 235 217 186 122 107;
15-/device-6, 133 32870132.119867 random 97 4 93 44 164 229 23 6 29 156 28 175 140 122 121 83 192 225 11 102;
15-/device-7, 147 32870352.214715 random 244 117 208 217 167 86 27 174 126 73 58 188 40 46 235;
16-/device-8, 149 32870572.101869 random 54 196 93 126 165 46 19 243 180 249 224 66 14 37 153 207;
16-/device-1, 106 32873992.220266 random 99 214 158 142 133 46 190 140 76 217 112 134 11 138 215;
16-/device-2, 111 32874212.259079 random 138 65 208 12 213 227 230 72 146 0 70 82 103 54 104 5 25 217 146;
16-/device-3, 116 32874432.226883 random 175 88 116 184 235 112 245 224 84 165 87 177 87 24;
16-/device-4, 118 32874672.127437 random 118 157 141 37 231 224 145 190 84 178 23 106 229 207;
16-/device-5, 119 32874892.242851 random 238 6 64 173 70 191 72 233 57 189 229 52 211 58 163;
16-/device-6, 133 32875132.208882 random 241 170 12 91 98 22 204 20 25 121 174 81 130 17 87 28 208 179 52 193;
16-/device-7, 147 32875352.236578 random 224 248 129 215 23 52 95 69 68 221 216 52 114 57 0 50 90 80;
