trial, sentMessage_Tomato_open_network_3.txt;
1-/device-1, 106 32971864.730429 blinking 0;
1-/device-2, 111 32971864.774296 solid 0;
1-/device-3, 116 32971864.795096 random 55 223 4 187 209 145 224 183 88 198 229 166 137;
1-/device-4, 118 32971864.818684 blinking 0;
1-/device-5, 119 32971864.837873 solid 0;
1-/device-6, 133 32971864.856461 blinking 0;
1-/device-7, 147 32971864.874626 blinking 0;
1-/device-8, 149 32971864.892577 solid 0;
2-/device-1, 106 32976864.715349 random 153 83 213 52 105 244 24 135 40 231 212 85 107 206 212;
2-/device-2, 111 32976864.753072 blinking 0;
2-/device-3, 116 32976864.783082 solid 0;
2-/device-4, 118 32976864.802168 solid 0;
2-/device-5, 119 32976864.820706 solid 0;
2-/device-6, 133 32976864.841954 random 221 120 125 72 37 96 130 21 115 65 160 173 66 237 159 211;
2-/device-7, 147 32976864.858098 random 149 168 198 33 60 35 92 103 221 158 181 222 159 116 162;
2-/device-8, 149 32976864.873693 blinking 0;
3-/device-1, 106 32981864.722332 solid 0;
3-/device-2, 111 32981864.766465 blinking 0;
3-/device-3, 116 32981864.787156 solid 0;
3-/device-4, 118 32981864.806096 solid 0;
3-/device-5, 119 32981864.824375 solid 0;
3-/device-6, 133 32981864.844279 solid 0;
3-/device-7, 147 32981864.86275 solid 0;
3-/device-8, 149 32981864.881879 random 128 138 22 69 61 222 160 68 122 160 232 165 168 237 82;
4-/device-1, 106 32986864.70379 random 248 181 38 154 243 239 111 99 5 174 41 146 170 80 109;
4-/device-2, 111 32986864.74194 blinking 0;
4-/device-3, 116 32986864.773253 solid 0;
4-/device-4, 118 32986864.793269 blinking 0;
4-/device-5, 119 32986864.812014 random 207 172 169 153 80 87 141 122 73 61 109 100 230 88 1 229;
4-/device-6, 133 32986864.827994 blinking 0;
4-/device-7, 147 32986864.846303 solid 0;
4-/device-8, 149 32986864.865671 blinking 0;
5-/device-1, 106 32991864.723398 blinking 0;
5-/device-2, 111 32991864.764492 random 178 9 114 7 64 105 191 154 10 245 109 236 212 50 135 214;
5-/device-3, 116 32991864.786297 random 216 21 238 147 204 240 164 78 198 101 200 184 246;
5-/device-4, 118 32991864.800881 solid 0;
5-/device-5, 119 32991864.820486 blinking 0;
5-/device-6, 133 32991864.838429 blinking 0;
5-/device-7, 147 32991864.856765 solid 0;
5-/device-8, 149 32991864.874285 solid 0;
6-/device-1, 106 32996864.716438 solid 0;
6-/device-2, 111 32996864.760189 blinking 0;
6-/device-3, 116 32996864.780033 solid 0;
6-/device-4, 118 32996864.79926 solid 0;
6-/device-5, 119 32996864.820281 solid 0;
6-/device-6, 133 32996864.839227 blinking 0;
6-/device-7, 147 32996864.863511 solid 0;
6-/device-8, 149 32996864.892733 blinking 0;
7-/device-1, 106 33001864.714388 random 10 17 13 36 94 32 195 136 137 156 50 48 78 213 28 105 108 217 179 93 204;
7-/device-2, 111 33001864.752013 blinking 0;
7-/device-3, 116 33001864.780527 random 137 2 109 15 103 7 191 203 157 117 148 96 134 249 107 7 130 54 88;
7-/device-4, 118 33001864.795802 blinking 0;
7-/device-5, 119 33001864.815962 solid 0;
7-/device-6, 133 33001864.835599 random 232 41 39 188 39 57 153 8 242 117 210 127 138 174 225 137;
7-/device-7, 147 33001864.85141 blinking 0;
7-/device-8, 149 33001864.871189 random 17 27 46 199 182 144 222 248 84 52 73 240 95 131 187 134;
8-/device-1, 106 33006864.722476 solid 0;
8-/device-2, 111 33006864.768372 solid 0;
8-/device-3, 116 33006864.788459 blinking 0;
8-/device-4, 118 33006864.807511 blinking 0;
8-/device-5, 119 33006864.826936 blinking 0;
8-/device-6, 133 33006864.845664 blinking 0;
8-/device-7, 147 33006864.863825 random 198 54 64 126 234 180 225 117 162 24 13 100 202 187 10 90 28;
8-/device-8, 149 33006864.886471 blinking 0;
9-/device-1, 106 33011864.798054 solid 0;
9-/device-2, 111 33011864.849261 random 147 237 219 125 119 9 77 112 148 120 1 86 5 20 32 186 114 232 18;
9-/device-3, 116 33011864.871846 solid 0;
9-/device-4, 118 33011864.893393 solid 0;
9-/device-5, 119 33011864.911682 solid 0;
9-/device-6, 133 33011864.930971 solid 0;
9-/device-7, 147 33011864.949535 solid 0;
9-/device-8, 149 33011864.979207 blinking 0;
10-/device-1, 106 33016864.716256 blinking 0;
10-/device-2, 111 33016864.761447 blinking 0;
10-/device-3, 116 33016864.782379 random 156 182 24 186 33 136 206 139 172 58 6 159 63 247 154 242;
10-/device-4, 118 33016864.805178 blinking 0;
10-/device-5, 119 33016864.825053 random 105 67 218 143 69 166 50 156 1 70 29 57 23 196 11 141 190 191 171;
10-/device-6, 133 33016864.841311 random 141 100 4 122 30 49 139 114 154 193 242 220 6 155 235 57 167;
10-/device-7, 147 33016864.857154 solid 0;
10-/device-8, 149 33016864.876397 blinking 0;
11-/device-1, 106 33021864.732281 solid 0;
11-/device-2, 111 33021864.778047 solid 0;
11-/device-3, 116 33021864.799558 blinking 0;
11-/device-4, 118 33021864.818097 blinking 0;
11-/device-5, 119 33021864.835981 random 159 144 28 240 44 215 224 26 129 54 241 49 35 94 145 91 204;
11-/device-6, 133 33021864.858314 random 169 68 74 98 2 35 176 234 176 165 2 49 160 186 23 139 105 188;
11-/device-7, 147 33021864.874019 random 80 103 24 164 101 95 231 56 13 58 164 225 56 0 65 14 66 146 114 8 15 155 101;
11-/device-8, 149 33021864.889338 solid 0;
12-/device-1, 106 33026864.696518 solid 0;
12-/device-2, 111 33026864.740531 blinking 0;
12-/device-3, 116 33026864.776021 blinking 0;
12-/device-4, 118 33026864.794926 blinking 0;
12-/device-5, 119 33026864.814441 solid 0;
12-/device-6, 133 33026864.834273 random 85 16 105 226 128 233 146 6 216 42 229 60 139 224 132 70;
12-/device-7, 147 33026864.854869 solid 0;
12-/device-8, 149 33026864.873883 blinking 0;
13-/device-1, 106 33031864.706059 random 27 123 182 42 63 178 27 28 53 97 231 40 245 182 87 90 161 98 201;
13-/device-2, 111 33031864.744387 solid 0;
13-/device-3, 116 33031864.774763 random 168 225 206 236 124 217 204 182 171 241 187;
13-/device-4, 118 33031864.79013 solid 0;
13-/device-5, 119 33031864.809963 solid 0;
13-/device-6, 133 33031864.830628 blinking 0;
13-/device-7, 147 33031864.849606 solid 0;
13-/device-8, 149 33031864.867936 blinking 0;
14-/device-1, 106 33036864.717234 solid 0;
14-/device-2, 111 33036864.762147 random 110 66 39 90 103 215 216 226 106 83 68 85 184 18 221 247;
14-/device-3, 116 33036864.78478 blinking 0;
14-/device-4, 118 33036864.805944 random 217 128 159 148 87 91 40 45 134 124 85 134 179 83 66 166 79 130;
14-/device-5, 119 33036864.823619 solid 0;
14-/device-6, 133 33036864.85084 solid 0;
14-/device-7, 147 33036864.883023 solid 0;
14-/device-8, 149 33036864.909859 blinking 0;
15-/device-1, 106 33041864.680198 random 67 58 34 50 24 211 165 103 242 15 52 181 206 50 228 35 160 35 210;
15-/device-2, 111 33041864.713495 blinking 0;
15-/device-3, 116 33041864.738943 blinking 0;
15-/device-4, 118 33041864.756222 blinking 0;
15-/device-5, 119 33041864.771839 blinking 0;
15-/device-6, 133 33041864.788248 blinking 0;
15-/device-7, 147 33041864.805755 random 113 95 134 201 231 29 195 218 77 212 6 75 13 168 138 128;
15-/device-8, 149 33041864.820452 solid 0;
16-/device-1, 106 33046864.703245 blinking 0;
16-/device-2, 111 33046864.74812 solid 0;
16-/device-3, 116 33046864.769544 random 217 141 249 39 213 241 208 49 239 33 192 139 223;
16-/device-4, 118 33046864.79177 blinking 0;
16-/device-5, 119 33046864.811066 random 128 227 16 66 89 236 93 94 206 231 73 27 7 55 97 231 126;
16-/device-6, 133 33046864.827253 random 186 231 92 180 162 47 21 182 76 179 170 212 225 103;
16-/device-7, 147 33046864.842258 solid 0;
16-/device-8, 149 33046864.861547 random 132 231 2 149 23 21 197 126 113 59 132 174 74 213 228 114 158;
