trial, sentMessage_Tomato_WPA2_3.txt;
13-/device-4, 118 31425821.506999 random 152 4 219 228 175 200 67 155 72 226 44 73 172 65 161;
13-/device-5, 119 31425821.548792 blinking 0;
13-/device-6, 133 31425821.586143 random 19 70 183 141 81 194 110 84 60 64 79 45 52 87 18 62 114 156 134 190 45 22;
13-/device-7, 147 31425821.664646 solid 0;
13-/device-8, 149 31425821.700634 random 193 39 216 192 23 191 92 162 212 187 103 101 53 233 130;
14-/device-1, 106 31431821.423576 blinking 0;
14-/device-2, 111 31431822.324147 solid 0;
14-/device-3, 116 31431822.363303 random 3 164 154 242 243 94 97 84 164 203 195 44 14 125 66 157;
14-/device-4, 118 31431822.40101 solid 0;
14-/device-5, 119 31431822.615147 solid 0;
14-/device-6, 133 31431822.757241 random 98 8 145 5 72 133 143 68 117 173 233 167 99 101 94 191 242;
14-/device-7, 147 31431822.8343 blinking 0;
14-/device-8, 149 31431822.868199 solid 0;
15-/device-1, 106 31437821.452367 random 123 152 183 112 198 240 146 36 17 105 106 180 135 247 62;
15-/device-2, 111 31437821.513112 solid 0;
15-/device-3, 116 31437821.565349 random 83 205 210 61 241 60 75 194 131 77 73 243 65 190 238;
15-/device-4, 118 31437821.597934 solid 0;
15-/device-5, 119 31437821.640481 blinking 0;
15-/device-6, 133 31437821.682848 random 236 7 174 207 134 120 173 234 220 108 90 150 34 239;
15-/device-7, 147 31437821.715495 solid 0;
15-/device-8, 149 31437821.756665 random 104 157 210 110 219 63 128 144 84 72 93 24 113 169 77 58 178;
16-/device-1, 106 31443821.537063 random 11 114 2 166 23 127 105 145 133 66 201 91 84 37 34 100 97 118 106 95 155;
16-/device-2, 111 31443821.600094 solid 0;
16-/device-3, 116 31443821.655857 solid 0;
16-/device-4, 118 31443821.693392 random 219 45 99 62 244 157 148 214 71 29 186 55 245 107 69 222;
16-/device-5, 119 31443821.801199 blinking 0;
16-/device-6, 133 31443821.843596 solid 0;
16-/device-7, 147 31443821.878159 blinking 0;
16-/device-8, 149 31443821.918917 random 187 190 207 15 100 134 222 192 243 32 110 90 149 39 108;
