trial, rcvdMessage_Tomato_WPA2_4.txt;
1-/device-1, 106 31459652.878098 random 568507 145 260 110 295 0 105 205 10 285 215 0 85 210;
1-/device-2, 111 31459857.827354 blinking 584554 0;
1-/device-3, 116 31460026.906397 blinking 583124 0;
1-/device-4, 118 31460266.359484 solid 580670 0;
1-/device-5, 119 31460574.127254 random 591124 205 95 100 310 30 270 0 10 185 45 260 200 0 75 125 0;
1-/device-6, 133 31460781.666873 solid 585045 0;
1-/device-7, 147 31460984.883487 blinking 580469 0;
2-/device-8, 149 31461189.930326 solid 537199 0;
2-/device-1, 106 31464589.190028 solid 568507 0;
2-/device-2, 111 31464875.39299 solid 584554 0;
2-/device-3, 116 31465081.057265 random 583124 65 240 0 15 15 165 100 305 0 215 0 5 20 265 65 95 0 70 15 140 100 0;
2-/device-4, 118 31465287.489544 solid 580670 0;
2-/device-5, 119 31465484.800171 blinking 591124 0;
2-/device-6, 133 31465802.624342 random 585045 0 0 200 20 65 220 0 10 295 0 205 5 25 255 205 10 190 200 0;
2-/device-7, 147 31466004.778151 solid 580469 0;
3-/device-8, 149 31466221.287802 blinking 537199 0;
3-/device-1, 106 31469687.637915 solid 568507 0;
3-/device-2, 111 31469893.163357 solid 584554 0;
3-/device-3, 116 31470024.190893 solid 583124 0;
3-/device-4, 118 31470301.692196 solid 580670 0;
3-/device-5, 119 31470506.997653 random 591124 205 205 200 105 200 305 5 295 205 200 115 0;
3-/device-6, 133 31470816.313479 blinking 585045 0;
3-/device-7, 147 31471022.64853 blinking 580469 0;
4-/device-8, 149 31471226.894991 solid 537199 0;
4-/device-1, 106 31474602.181392 blinking 568507 0;
4-/device-2, 111 31474807.60827 blinking 584554 0;
4-/device-3, 116 31475118.883685 random 583124 10 290 205 100 200 210 30 265 0 40 160 65 240 55;
4-/device-4, 118 31475265.611911 solid 580670 0;
4-/device-5, 119 31475485.809848 blinking 591124 0;
4-/device-6, 133 31475832.071823 blinking 585045 0;
4-/device-7, 147 31476036.181683 solid 580469 0;
5-/device-8, 149 31476249.082532 solid 537199 0;
5-/device-1, 106 31479622.3763 solid 568507 0;
5-/device-2, 111 31479828.107633 random 584554 0 140 270 210 130 85 105 185 300 85 155 145 40 15 125;
5-/device-3, 116 31480030.178762 solid 583124 0;
5-/device-4, 118 31480338.895914 random 580670 155 305 5 195 0 5 100 190 25 65 210 205 200 100 205 80;
5-/device-5, 119 31480542.790346 solid 591124 0;
5-/device-6, 133 31480747.45948 solid 585045 0;
5-/device-7, 147 31480959.809999 solid 580469 0;
6-/device-8, 149 31481271.984352 solid 537199 0;
6-/device-1, 106 31484638.345455 random 568507 120 100 285 205 95 310 0 105 85 350 0 0 115 95 20 25;
6-/device-2, 111 31484803.399953 random 584554 95 120 115 50 170 70 35 85 0 10 285 155 275 175 5 295 0 10;
6-/device-3, 116 31485058.631971 blinking 583124 0;
6-/device-4, 118 31485287.642902 random 580670 165 95 315 200 50 250 15 180 200 0 200 205 20 25 15;
6-/device-5, 119 31485559.549083 random 591124 210 65 60 280 280 40 40 260 200 0 75 10 320 320 200 75 125;
6-/device-6, 133 31485770.584784 random 585045 0 150 85 295 275 125 280 110 200 20 95 390 0;
6-/device-7, 147 31485969.939915 blinking 580469 0;
7-/device-8, 149 31486180.500839 blinking 537199 0;
7-/device-1, 106 31489660.427082 random 568507 35 5 260 50 55 145 275 0 100 185 125 285 0 65 15 160 100 20 15;
7-/device-2, 111 31489803.953193 solid 584554 0;
7-/device-3, 116 31490067.569208 random 583124 0 200 60 170 0 25 145 205 75 225 205 200 0 5 5 45 50 80 15 290;
7-/device-4, 118 31490270.594173 random 580670 155 75 195 65 125 10 105 75 110 10 110 65 140 65 5 45 80 250 160 185;
7-/device-5, 119 31490498.04777 solid 591124 0;
7-/device-6, 133 31490736.745199 solid 585045 0;
7-/device-7, 147 31490989.268071 blinking 580469 0;
8-/device-8, 149 31491197.754385 solid 537199 0;
8-/device-1, 106 31494583.90331 solid 568507 0;
8-/device-2, 111 31494878.767324 solid 584554 0;
8-/device-3, 116 31495083.619799 solid 583124 0;
8-/device-4, 118 31495266.956435 blinking 580670 0;
8-/device-5, 119 31495485.305342 solid 591124 0;
8-/device-6, 133 31495724.679099 blinking 585045 0;
8-/device-7, 147 31496006.73115 random 580469 0 115 290 115 150 60 110 270 205 80 100 45 55 185 90 25;
9-/device-8, 149 31496217.591118 random 537199 195 210 210 5 5 280 210 0 195 45 0 250 65 25 50 55 205;
9-/device-1, 106 31499590.023689 solid 568507 0;
9-/device-2, 111 31500000.451944 solid 584554 0;
9-/device-3, 116 31500105.431476 solid 583124 0;
9-/device-4, 118 31500305.923975 solid 580670 0;
9-/device-5, 119 31500516.724655 random 591124 95 300 205 0 5 15 175 0 205 20 285 200 200 205 0 25;
9-/device-6, 133 31500818.298169 blinking 585045 0;
9-/device-7, 147 31501029.471936 blinking 580469 0;
10-/device-8, 149 31501184.888855 solid 537199 0;
10-/device-1, 106 31504615.513039 blinking 568507 0;
10-/device-2, 111 31504803.807819 random 584554 95 220 200 100 115 100 165 20 300 55 250 15 120 270 0;
10-/device-3, 116 31505124.523388 random 583124 0 0 55 245 50 260 0 190 205 35 275 40 260 50 255 0;
10-/device-4, 118 31505325.087433 solid 580670 0;
10-/device-5, 119 31505483.715957 random 591124 210 155 130 15 185 25 55 220 95 220 115 200 165 35 135;
10-/device-6, 133 31505746.98783 solid 585045 0;
10-/device-7, 147 31506040.772654 solid 580469 0;
11-/device-8, 149 31506247.903422 blinking 537199 0;
11-/device-1, 106 31509634.053318 random 568507 140 255 40 120 155 290 290 0 110 65 285 0 95 15 20 225 0 115;
11-/device-2, 111 31509807.630829 random 584554 55 160 200 90 65 85 225 30 170 220 215 100 95 185 35 50 5;
11-/device-3, 116 31510024.091618 random 583124 105 185 60 55 170 240 175 170 115 165 175 60 35 140 95 15;
11-/device-4, 118 31510342.095342 solid 580670 0;
11-/device-5, 119 31510546.633139 blinking 591124 0;
11-/device-6, 133 31510755.939555 random 585045 75 30 260 100 55 125 65 295 50 35 210 95 40 15 255 95 120 0;
11-/device-7, 147 31510957.39911 solid 580469 0;
12-/device-8, 149 31511264.896899 solid 537199 0;
12-/device-1, 106 31514643.675978 solid 568507 0;
12-/device-2, 111 31514803.548865 blinking 584554 0;
12-/device-3, 116 31515025.475165 blinking 583124 0;
12-/device-4, 118 31515359.566111 random 580670 200 0 80 230 0 0 0 0 190 100 305 5 300 300 15 50 235 200;
12-/device-5, 119 31515564.894772 blinking 591124 0;
12-/device-6, 133 31515723.614351 blinking 585045 0;
12-/device-7, 147 31515976.59276 random 580469 160 35 270 0 305 120 0 0 25 105 245 50 135 215 155 150 120;
13-/device-8, 149 31516182.662463 random 537199 205 0 205 195 5 295 5 300 60 145 195 305 0 35;
13-/device-1, 106 31519661.583521 random 568507 0 210 300 5 305 0 0 305 305 200 0 20 155 95 10 140 90 25 35 10;
13-/device-2, 111 31519805.490905 random 584554 270 120 285 0 140 40 70 250 30 165 305 120 155 20;
13-/device-3, 116 31520076.566371 random 583124 195 60 240 210 200 0 205 0 225 80 310 0 0 15 60 115 5;
13-/device-4, 118 31520263.785686 solid 580670 0;
13-/device-5, 119 31520581.742539 solid 591124 0;
13-/device-6, 133 31520791.959348 blinking 585045 0;
13-/device-7, 147 31520954.545518 solid 580469 0;
14-/device-8, 149 31521200.186232 blinking 537199 0;
14-/device-1, 106 31524678.957596 solid 568507 0;
14-/device-2, 111 31524882.925873 blinking 584554 0;
14-/device-3, 116 31525026.035016 blinking 583124 0;
14-/device-4, 118 31525292.730232 blinking 580670 0;
14-/device-5, 119 31525497.31723 blinking 591124 0;
14-/device-6, 133 31525804.984182 blinking 585045 0;
14-/device-7, 147 31526009.04703 solid 580469 0;
15-/device-8, 149 31526165.682997 blinking 537199 0;
15-/device-1, 106 31529593.671871 random 568507 200 65 245 105 135 150 150 85 15 275 25 150 220 100 40;
15-/device-2, 111 31529902.550936 blinking 584554 0;
15-/device-3, 116 31530112.416255 random 583124 0 195 205 0 200 320 320 195 75 40 40 75 0 200 0 270 65 0;
15-/device-4, 118 31530311.213913 blinking 580670 0;
15-/device-5, 119 31530521.065398 random 591124 195 205 200 205 205 0 210 0 65 0 330 0 0 305 35;
15-/device-6, 133 31530829.39362 random 585045 120 135 95 125 55 300 15 265 35 70 295 200 35 120;
15-/device-7, 147 31531040.118162 random 580469 195 195 0 200 95 310 205 40 355 0 75 225 205;
16-/device-8, 149 31536250.599982 blinking 537199 0;
16-/device-1, 106 31534586.29281 blinking 568507 0;
16-/device-2, 111 31534816.325925 solid 584554 0;
16-/device-3, 116 31535225.476815 blinking 583124 0;
16-/device-4, 118 31535332.129999 blinking 580670 0;
16-/device-5, 119 31535483.373772 blinking 591124 0;
16-/device-6, 133 31535724.608261 blinking 585045 0;
16-/device-7, 147 31535944.130189 solid 580469 0;
