trial, sentMessage_Tomato_WPA2_4.txt;
13-/device-4, 118 31520260.842172 solid 0;
13-/device-5, 119 31520480.723039 solid 0;
13-/device-6, 133 31520720.843871 blinking 0;
13-/device-7, 147 31520940.888032 solid 0;
14-/device-8, 149 31521160.810177 blinking 0;
14-/device-1, 106 31524580.862511 solid 0;
14-/device-2, 111 31524800.743471 blinking 0;
14-/device-3, 116 31525020.745864 blinking 0;
14-/device-4, 118 31525260.76001 blinking 0;
14-/device-5, 119 31525480.739924 blinking 0;
14-/device-6, 133 31525720.826204 blinking 0;
14-/device-7, 147 31525940.829535 solid 0;
15-/device-8, 149 31526160.740392 blinking 0;
15-/device-1, 106 31529580.743049 random 203 78 224 130 137 153 153 86 19 202 101 151 195 123 98;
15-/device-2, 111 31529800.714899 blinking 0;
15-/device-3, 116 31530020.819149 random 66 198 183 1 242 234 26 167 174 41 43 75 0 105 57 243 134 204;
15-/device-4, 118 31530260.82921 blinking 0;
15-/device-5, 119 31530480.702556 random 162 227 224 173 185 18 178 43 112 17 228 26 67 219 158;
15-/device-6, 133 31530720.847 random 230 126 105 126 57 240 84 195 108 59 228 236 82 241;
15-/device-7, 147 31530940.70732 random 210 15 14 211 131 244 210 125 249 64 122 188 223;
16-/device-8, 149 31531160.83487 random 176 56 94 114 189 199 104 98 45 73 122 155 235 105 249;
16-/device-1, 106 31534580.796143 blinking 0;
16-/device-2, 111 31534800.748959 solid 0;
16-/device-3, 116 31535020.822282 blinking 0;
16-/device-4, 118 31535260.839378 blinking 0;
16-/device-5, 119 31535480.7512 blinking 0;
16-/device-6, 133 31535720.772767 blinking 0;
16-/device-7, 147 31535940.807283 solid 0;
