trial, rcvdMessage_Tomato_WPA2_1.txt;
1-/device-1, 115 8469494.115096 blinking 0;
1-/device-3, 149 8469593.456052 blinking 0;
2-/device-3, 149 8475631.778833 random 10 105 0 185 205 110 0 85 105 100 305 5 195 5 90 0 205 0 0 300;
2-/device-1, 115 8475633.305773 random 5 110 25 65 110 15 10 270 95 205 200 305 105 110 290 100 0;
3-/device-1, 115 8481571.79274 blinking 0;
3-/device-3, 149 8481573.766405 blinking 0;
4-/device-3, 149 8487613.27223 blinking 0;
5-/device-3, 149 8493561.528921 blinking 0;
5-/device-1, 115 8493569.254221 blinking 0;
