trial, sentMessage_Netgear_WPA2_9.txt;
1-/device-1, 3 9378833.254551 solid 0;
1-/device-2, 3 9379053.22168 solid 0;
1-/device-3, 3 9379273.219021 blinking 0;
1-/device-4, 3 9379513.206309 solid 0;
1-/device-5, 3 9379733.213459 solid 0;
1-/device-6, 3 9379973.215359 blinking 0;
1-/device-7, 3 9380193.214499 solid 0;
1-/device-8, 3 9380413.205539 solid 0;
2-/device-1, 3 9384833.400736 blinking 0;
2-/device-2, 3 9385053.307278 solid 0;
2-/device-3, 3 9385273.367286 solid 0;
2-/device-4, 3 9385513.396176 random 134 35 12 14 187 75 119 160 183 38 201 185 60 210 25 124 37 124 73 13;
2-/device-5, 3 9385733.21418 blinking 0;
2-/device-6, 3 9385973.180708 random 76 166 1 14 19 159 142 107 190 87 62 108 101 23 131 174 187 97 136 59;
2-/device-7, 3 9386193.216979 blinking 0;
2-/device-8, 3 9386413.224942 random 24 148 52 141 101 73 223 163 243 51 167 145 161 99 182 156;
3-/device-1, 3 9390833.650668 random 137 118 97 76 51 20 217 162 145 79 181 149 139 49 20 227 238;
3-/device-2, 3 9391053.318183 solid 0;
3-/device-3, 3 9391273.219892 blinking 0;
3-/device-4, 3 9391513.221909 random 84 212 231 49 113 169 45 118 158 237 136 140 228 122;
3-/device-5, 3 9391733.271619 blinking 0;
3-/device-6, 3 9391973.09731 random 114 210 19 130 186 68 0 128 160 70 222 174 161 170 26 172;
3-/device-7, 3 9392193.183573 solid 0;
3-/device-8, 3 9392413.131766 random 164 220 127 215 66 210 44 13 216 223 23 140 183 134 135;
